Total United States,2.03,,7.28,,2.9,,3.55,
Northeast,1.88,(1.65 - 2.14),7.35,(6.83 - 7.90),2.68,(2.38 - 3.01),3.33,(3.06 - 3.62)
Midwest,2.15,(1.95 - 2.38),8.13,(7.71 - 8.57),2.97,(2.73 - 3.24),3.75,(3.53 - 3.99)
South,1.85,(1.67 - 2.06),6.52,(6.15 - 6.92),2.71,(2.48 - 2.96),3.28,(3.06 - 3.50)
West,2.3,(2.01 - 2.64),7.56,(7.02 - 8.15),3.33,(2.98 - 3.74),3.99,(3.66 - 4.34)
Alabama,2.35,(1.66 - 3.32),5.61,(4.42 - 7.11),2.61,(1.91 - 3.55),3.05,(2.39 - 3.89)
Region 1,2.53,(1.53 - 4.16),5.69,(3.82 - 8.39),2.05,(1.30 - 3.24),2.54,(1.77 - 3.65)
Region 2,2.47,(1.51 - 4.04),5.44,(3.81 - 7.72),2.97,(1.89 - 4.62),3.34,(2.32 - 4.79)
Region 3,1.74,(0.98 - 3.09),5.38,(3.65 - 7.87),2.84,(1.77 - 4.53),3.29,(2.26 - 4.77)
Region 4,2.48,(1.51 - 4.07),6.01,(4.16 - 8.62),2.62,(1.66 - 4.10),3.09,(2.15 - 4.42)
Alaska,2.73,(1.91 - 3.91),6.43,(5.13 - 8.04),3.48,(2.63 - 4.60),3.96,(3.17 - 4.93)
Gulf Coast,2.28,(1.25 - 4.11),7.26,(4.78 - 10.87),3.07,(1.83 - 5.11),3.64,(2.38 - 5.51)
Rural,1.88,(0.99 - 3.52),6.53,(4.24 - 9.91),4.79,(2.85 - 7.94),5.12,(3.33 - 7.81)
Southeast,2.78,(1.60 - 4.79),7.55,(5.04 - 11.18),4.12,(2.61 - 6.45),4.59,(3.12 - 6.71)
Urban,2.99,(1.94 - 4.57),6.12,(4.61 - 8.10),3.24,(2.26 - 4.62),3.71,(2.80 - 4.91)
Arizona,2.42,(1.66 - 3.50),8.1,(6.54 - 9.98),3.79,(2.89 - 4.95),4.44,(3.60 - 5.47)
Maricopa,2.17,(1.34 - 3.50),7.7,(5.88 - 10.03),3.69,(2.63 - 5.16),4.32,(3.31 - 5.62)
Pima,3.1,(1.78 - 5.36),8.75,(5.97 - 12.65),4.33,(2.77 - 6.70),5,(3.48 - 7.15)
Rural North,2.76,(1.52 - 4.96),10.1,(6.89 - 14.58),4.21,(2.55 - 6.88),5.02,(3.35 - 7.44)
Rural South,2.41,(1.31 - 4.39),7.43,(4.84 - 11.26),3.15,(1.95 - 5.07),3.73,(2.51 - 5.51)
Arkansas,1.91,(1.37 - 2.65),6.48,(5.24 - 7.99),2.58,(1.93 - 3.45),3.17,(2.54 - 3.95)
Areas 1 and 2,1.95,(1.12 - 3.34),7.19,(4.88 - 10.46),2.62,(1.67 - 4.10),3.33,(2.34 - 4.74)
Areas 3 and 4,2.25,(1.34 - 3.76),8.01,(5.58 - 11.37),2.59,(1.65 - 4.06),3.4,(2.41 - 4.76)
Areas 5 and 6,1.79,(1.01 - 3.13),5.75,(3.88 - 8.44),2.2,(1.36 - 3.55),2.76,(1.89 - 4.01)
"Areas 7, 12, and 13",1.52,(0.85 - 2.70),5.75,(3.78 - 8.66),3.25,(2.01 - 5.21),3.63,(2.43 - 5.39)
"Areas 8, 10, and 11",1.83,(1.05 - 3.14),6.73,(4.65 - 9.65),2.32,(1.45 - 3.71),2.93,(2.04 - 4.19)
Area 9,2.04,(1.19 - 3.50),5.33,(3.58 - 7.87),2.64,(1.68 - 4.12),3.03,(2.08 - 4.39)
California,2.27,(1.84 - 2.79),7.28,(6.46 - 8.19),3.4,(2.87 - 4.02),4,(3.53 - 4.54)
Region 1,2.88,(1.73 - 4.75),9.08,(6.28 - 12.95),3.17,(2.05 - 4.89),4.04,(2.87 - 5.68)
Region 2,2.35,(1.48 - 3.70),9.48,(7.20 - 12.38),4.1,(2.79 - 6.00),4.9,(3.62 - 6.59)
Region 3,2.12,(1.28 - 3.50),6.73,(4.56 - 9.82),3.07,(1.98 - 4.71),3.65,(2.55 - 5.19)
Region 4,2.19,(1.32 - 3.62),7.07,(4.88 - 10.15),3.51,(2.36 - 5.20),3.94,(2.81 - 5.50)
Region 5,2.76,(1.74 - 4.36),8.6,(6.22 - 11.77),4.09,(2.79 - 5.98),4.71,(3.44 - 6.43)
Region 6 (Santa Clara),2.51,(1.55 - 4.03),6.63,(4.65 - 9.35),3.04,(2.05 - 4.49),3.55,(2.57 - 4.89)
Region 7,2.43,(1.42 - 4.14),6.88,(4.63 - 10.12),3.39,(2.18 - 5.24),3.98,(2.78 - 5.68)
Region 8,2.29,(1.40 - 3.71),7.22,(5.06 - 10.21),3.6,(2.35 - 5.47),4.25,(3.05 - 5.89)
Region 9,2.53,(1.51 - 4.20),7.83,(5.58 - 10.89),3.19,(2.04 - 4.96),4,(2.84 - 5.60)
Region 10,2.72,(1.66 - 4.44),8.78,(6.20 - 12.29),3.57,(2.29 - 5.51),4.4,(3.12 - 6.18)
Region 11 (Los Angeles),1.88,(1.27 - 2.77),5.98,(4.77 - 7.47),3.25,(2.42 - 4.36),3.69,(2.94 - 4.64)
Region 12,2.26,(1.42 - 3.58),6.86,(4.90 - 9.54),3.06,(2.06 - 4.52),3.71,(2.73 - 5.03)
Region 13 (Riverside),2.76,(1.68 - 4.49),8.38,(5.99 - 11.61),3.02,(1.98 - 4.61),3.84,(2.78 - 5.28)
Region 14 (Orange),2.21,(1.38 - 3.51),6.94,(5.02 - 9.52),3.18,(2.19 - 4.61),3.74,(2.77 - 5.04)
Region 15,2.32,(1.47 - 3.64),7.9,(5.85 - 10.59),3.42,(2.36 - 4.91),4.17,(3.15 - 5.52)
Colorado,2.89,(2.07 - 4.00),9.67,(7.85 - 11.86),3.31,(2.46 - 4.43),4.25,(3.43 - 5.25)
Region 1,2.86,(1.69 - 4.81),9.71,(6.78 - 13.72),3.09,(1.97 - 4.84),4.26,(3.04 - 5.93)
Regions 2 and 7,2.97,(1.94 - 4.52),9.65,(7.31 - 12.64),3.31,(2.26 - 4.83),4.22,(3.19 - 5.58)
Region 3,2.69,(1.55 - 4.65),9.75,(6.81 - 13.77),3.19,(2.05 - 4.92),4.15,(2.97 - 5.78)
Region 4,2.88,(1.65 - 4.99),10.22,(7.00 - 14.70),3.29,(2.02 - 5.31),4.23,(2.89 - 6.14)
Regions 5 and 6,2.78,(1.62 - 4.73),9.34,(6.21 - 13.82),3.69,(2.28 - 5.91),4.52,(3.08 - 6.58)
Connecticut,2.08,(1.49 - 2.91),8.33,(6.69 - 10.32),3.05,(2.28 - 4.06),3.75,(3.00 - 4.66)
Eastern,2.22,(1.26 - 3.86),8.59,(5.70 - 12.74),2.99,(1.87 - 4.76),3.94,(2.72 - 5.67)
North Central,2.15,(1.28 - 3.59),8.92,(6.35 - 12.38),3.44,(2.23 - 5.27),4.14,(2.94 - 5.80)
Northwestern,1.91,(1.13 - 3.22),8.98,(6.22 - 12.79),2.66,(1.64 - 4.29),3.43,(2.38 - 4.91)
South Central,2.01,(1.21 - 3.33),7.39,(5.13 - 10.55),2.73,(1.73 - 4.28),3.37,(2.37 - 4.77)
Southwest,2.13,(1.27 - 3.56),7.92,(5.45 - 11.38),3.23,(2.05 - 5.06),3.79,(2.61 - 5.48)
Delaware,1.54,(1.05 - 2.27),5.44,(4.21 - 7.01),2.2,(1.61 - 3.00),2.67,(2.09 - 3.42)
Kent,1.59,(0.90 - 2.78),5.99,(4.08 - 8.73),2.5,(1.58 - 3.92),3.05,(2.12 - 4.37)
New Castle (excluding Wilmington City),1.59,(0.98 - 2.59),5.44,(3.92 - 7.50),2,(1.33 - 3.02),2.54,(1.85 - 3.47)
Sussex,1.53,(0.87 - 2.68),5.16,(3.37 - 7.81),1.96,(1.19 - 3.20),2.31,(1.53 - 3.48)
Wilmington City,1.23,(0.68 - 2.21),4.96,(3.17 - 7.67),3.4,(2.06 - 5.55),3.65,(2.38 - 5.55)
District of Columbia,1.64,(1.12 - 2.42),8.48,(6.90 - 10.39),4.9,(3.83 - 6.25),5.47,(4.49 - 6.65)
Ward 1,*,(* - *),8.28,(5.52 - 12.24),6.22,(4.09 - 9.36),6.59,(4.61 - 9.35)
Ward 2,*,(* - *),10.36,(7.61 - 13.95),5.3,(3.52 - 7.91),6.56,(4.86 - 8.78)
Ward 3,2.3,(1.30 - 4.05),11.3,(7.77 - 16.14),4.42,(2.91 - 6.64),5.51,(3.96 - 7.60)
Ward 4,1.65,(0.89 - 3.03),6.44,(4.09 - 10.02),3.88,(2.34 - 6.37),4.14,(2.64 - 6.45)
Ward 5,1.62,(0.88 - 2.98),8.11,(5.61 - 11.58),4.88,(3.20 - 7.39),5.35,(3.77 - 7.54)
Ward 6,*,(* - *),7.48,(4.87 - 11.33),4.93,(3.14 - 7.68),5.27,(3.56 - 7.75)
Ward 7,1.33,(0.71 - 2.45),5.61,(3.67 - 8.50),4.12,(2.54 - 6.64),4.31,(2.80 - 6.56)
Ward 8,1.36,(0.76 - 2.44),5.52,(3.64 - 8.28),5.91,(3.80 - 9.08),5.84,(3.96 - 8.53)
Florida,1.92,(1.57 - 2.35),7.1,(6.29 - 8.01),2.67,(2.25 - 3.17),3.25,(2.86 - 3.69)
Region A,1.94,(1.35 - 2.79),7.68,(6.13 - 9.59),2.94,(2.20 - 3.93),3.78,(3.04 - 4.69)
Circuit 1,1.94,(1.15 - 3.27),7.03,(4.80 - 10.18),2.7,(1.78 - 4.08),3.37,(2.43 - 4.66)
Circuit 2,1.9,(1.13 - 3.18),8.23,(5.98 - 11.21),3.46,(2.23 - 5.32),4.6,(3.35 - 6.28)
Circuit 14,*,(* - *),8.12,(5.50 - 11.83),2.89,(1.83 - 4.54),3.63,(2.51 - 5.20)
Region B,1.84,(1.31 - 2.58),8.22,(6.70 - 10.05),3.11,(2.34 - 4.12),3.91,(3.16 - 4.82)
Circuits 3 and 8,1.99,(1.19 - 3.31),7.85,(5.58 - 10.93),2.99,(1.95 - 4.55),4.02,(2.94 - 5.48)
Circuit 4,1.66,(1.00 - 2.77),7.74,(5.61 - 10.58),3.53,(2.35 - 5.27),4.18,(3.03 - 5.74)
Circuit 7,1.99,(1.17 - 3.37),9.59,(6.81 - 13.34),2.65,(1.70 - 4.11),3.46,(2.46 - 4.85)
Region C,2,(1.52 - 2.61),7.29,(6.09 - 8.70),2.68,(2.13 - 3.37),3.27,(2.74 - 3.90)
Circuit 5,1.92,(1.16 - 3.16),6.77,(4.67 - 9.72),2.02,(1.27 - 3.21),2.46,(1.69 - 3.57)
Circuit 9,1.87,(1.19 - 2.92),7.15,(5.32 - 9.56),3.39,(2.34 - 4.91),4.03,(3.01 - 5.37)
Circuit 10,2.24,(1.35 - 3.69),7.77,(5.39 - 11.08),2.68,(1.77 - 4.04),3.34,(2.40 - 4.63)
Circuit 18,2.06,(1.30 - 3.27),7.92,(5.77 - 10.80),2.69,(1.80 - 4.02),3.33,(2.42 - 4.57)
Circuit 19,1.99,(1.19 - 3.32),6.57,(4.44 - 9.62),2.31,(1.47 - 3.61),2.74,(1.88 - 3.98)
